일련번호,업소명,사업장도로명주소,소재지전화번호,객실수
287,휴가,부산광역시 해운대구 송정구덕포길 164 (송정동),,2
288,쿠무다 레스메종,"부산광역시 해운대구 송정광어골로 41, 5-8층 (송정동)",051-701-1300,10
289,엘시티레지던스 와이컬렉션,"부산광역시 해운대구 달맞이길 30 (중동, 엘시티)",,30
290,PLAGE(플라쥬),"부산광역시 해운대구 송정중앙로9번길 24-9, 2층 (송정동)",,1
291,오이,"부산광역시 해운대구 중동1로 34, 3층 (중동)",,3
292,월하정인,부산광역시 해운대구 송정중앙로15번길 6 (송정동),,2
293,바이브,"부산광역시 해운대구 송정광어골로 71, 4-5층 (송정동)",,2
294,온더비치,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 A동 2203호 (중동)",,29
295,스테이모어 빌리지,부산광역시 해운대구 송정광어골로 90 (송정동),,4
296,고홍집,부산광역시 해운대구 송정구덕포길 174 (송정동),,1
297,아라뷰스테이,"부산광역시 해운대구 송정광어골로 47, 3층 (송정동)",,1
298,오션마켓스테이(Ocean Market Stay),부산광역시 해운대구 구남로41번길 17 (중동),051-746-3556,2
299,물고기미포펜션,부산광역시 해운대구 달맞이길62번가길 43 (중동),,4
300,송정스카이 펜트하우스,"부산광역시 해운대구 송정광어골로 19, 씨엔씨빌딩 8층 (송정동)",,1
301,라임스위트,"부산광역시 해운대구 중동1로19번길 5, 3, 4층 (중동)",,2
302,루메드 풀빌라,"부산광역시 해운대구 송정중앙로 47, 송정 오베이로 풀빌라 (송정동)",,9
303,씨엘드메르,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 (중동)",,31
304,미니먼트,부산광역시 해운대구 송정중앙로9번길 78-2 (송정동),,1
305,송정맨션,"부산광역시 해운대구 송정구덕포길 150-3, 1~4층 (송정동)",,4
306,THE 카이브,"부산광역시 해운대구 송정광어골로 55, 하얀집 (송정동)",,3
307,코티스 앰버서더,"부산광역시 해운대구 구남로21번길 6, 엘본더스테이 (중동)",051-723-3232,154
308,더퍼스트 오션 송정,"부산광역시 해운대구 송정중앙로36번길 48, 15층 (송정동)",,30
309,엘본쓰,"부산광역시 해운대구 구남로21번길 6, 엘본더스테이 (중동)",,30
310,엘모멘토 해운대,"부산광역시 해운대구 구남로21번길 6, 엘본더스테이 (중동)",,40
311,stov(스토브),"부산광역시 해운대구 송정중앙로6번길 76, 1층 (송정동)",,1
312,바다담은,"부산광역시 해운대구 해운대해변로209번가길 11, 9층 (우동)",,1
313,더블유레지던스호텔해운대,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 (우동)",,30
314,보나투게더,"부산광역시 해운대구 구남로21번길 6, 1911호 (중동)",,27
315,빌라 드 버틀러,부산광역시 해운대구 중동1로19번길 7 (중동),,2
316,보다스테이 5호점(송정),"부산광역시 해운대구 송정광어골로 29, 수정빌딩 4층 (송정동)",,2
317,와이컬렉션 해운대비치,"부산광역시 해운대구 해운대해변로298번길 25, 영무 파라드 호텔 (중동)",,30
318,더솔리드,"부산광역시 해운대구 구남로21번길 6, 705호 (중동)",,48
319,패밀리 하우스(Family house 710),"부산광역시 해운대구 중동1로19번길 7, 3층 (중동)",,1
320,로미스테이,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 B동 1209호 (중동)",,34
321,해운대센텀호텔,"부산광역시 해운대구 센텀3로 20, 벡스코 비지니스호텔 (우동)",051-720-9000,38
322,라비앙즈,"부산광역시 해운대구 구남로21번길 6, 3204호 (중동)",,30
323,에이원위드해운대,"부산광역시 해운대구 구남로21번길 6, 2711호 (중동)",,31
324,더플레이스34,"부산광역시 해운대구 구남로21번길 6, 809호 (중동)",,30
325,송정담다,"부산광역시 해운대구 송정중앙로6번길 126, 3~5층 (송정동)",,2
326,더엘시티월드레지던스,"부산광역시 해운대구 달맞이길 30, 랜드마크동 2301호 (중동, 엘시티)",,30
327,영무파라드호텔1,"부산광역시 해운대구 해운대해변로298번길 25, 영무 파라드 호텔 101호 (중동)",,40
328,더펜트하우스4041,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 40~41층 (우동)",,5
329,르컬렉티브 해운대 패러그라프,"부산광역시 해운대구 해운대로570번길 30, 빌리브패러그라프 (우동)",1644-7694,38
330,뉴시즈 해운대 레지던스,"부산광역시 해운대구 해운대로570번길 30, 빌리브 패러그라프 (우동)",051-722-5522,30
331,트레블로지 스위트 부산 센텀,부산광역시 해운대구 APEC로 21 (우동),,30
332,라비앙즈 해운대에비뉴,부산광역시 해운대구 구남로18번길 30 (우동),051-731-3277,38
333,호텔 라뮤에뜨,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 (우동)",,30
334,어반스테이 해운대역,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 (우동)",1644-7694,50
335,호텔송정블루캐슬,"부산광역시 해운대구 송정중앙로36번길 70, 2층 (송정동)",,41
336,디오브 해운대 호텔 엘본더스테이,"부산광역시 해운대구 구남로21번길 6, 엘본더스테이 (중동)",,30
337,호텔위드,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 B동 905호 (중동)",,78
338,포르테 해운대,"부산광역시 해운대구 해운대로570번길 30, 401호 (우동)",,2
339,구텐모르겐,"부산광역시 해운대구 우동1로20번길 53, 3층 (우동)",,1
340,노마드리브,"부산광역시 해운대구 좌동로 88, 울트라타워 1101,1102호 (좌동)",,30
341,해운대 바다 스테이,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 A동 311호 (중동)",,30
342,스테이 화옥,부산광역시 해운대구 송정중앙로36번길 11-20 (송정동),,3
343,시크레이트,"부산광역시 해운대구 구남로 19, 2,3층 (우동)",,10
344,해운대라메르스테이,"부산광역시 해운대구 구남로21번길 6, 3105호 (중동)",,30
345,카이브 부산송정4호점,"부산광역시 해운대구 송정광어골로 87, 한림빌딩 3층 (송정동)",,3
346,뉴시즈 센텀 호텔,"부산광역시 해운대구 APEC로 21, 304호 (우동)",051-722-0115,37
